Rec no.,TA ID,Year of Publication,STA/MTA process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
789,TA485,2017/18,STA,Sarilumab monotherapy,Pharmaceutical,Moderate to severe rheumatoid arthritis,Optimised,"Optimised recommendation for sarilumab as monotherapy for people who cannot take methotrexate because it is contraindicated or because of intolerance, when the criteria in sections 1.1 and 1.2 are met."
790,TA486,2017/18,STA,Aflibercept ,Pharmaceutical,Choroidal neovascularisation,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
791,TA487,2017/18,STA,Venetoclax ,Pharmaceutical,Chronic lymphocytic leukaemia,Recommended (CDF),"Recommended for use within the Cancer Drugs Fund as an option for treating chronic lymphocytic leukaemia, that is, in adults:
•with a 17p deletion or TP53 mutation and when a B‑cell receptor pathway inhibitor is unsuitable, or whose disease has progressed after a B‑cell receptor pathway inhibitor or
•without a 17p deletion or TP53 mutation, and whose disease has progressed after both chemo‑immunotherapy and a B‑cell receptor pathway inhibitor and
•only if the conditions in the managed access agreement are followed
"
792,TA488,2017/18,STA,Regorafenib ,Pharmaceutical,Previously treated unresectable or metastatic gastrointestinal stromal tumours,Optimised,"Optimised recommendation for regorafenib as an option for treating unresectable or metastatic gastrointestinal stromal tumours in adults whose disease has progressed on, or who are intolerant to, prior treatment with imatinib and sunitinib, only if:
•their Eastern Cooperative Oncology Group (ECOG) performance status is 0 to 1 and
•the company provides regorafenib with the discount agreed in the patient access scheme."
793,TA489,2017/18,STA,Vismodegib,Pharmaceutical,Basal cell carcinoma,Not recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
794,TA490,2017/18,STA,Nivolumab,Pharmaceutical,Squamous cell carcinoma of the head and neck after platinum-based chemotherapy ,Recommended (CDF),"Recommended for use within the Cancer Drugs Fund as an option for treating squamous cell carcinoma of the head and neck in adults whose disease has progressed on platinum-based chemotherapy, only if:
•the disease has progressed within 6 months of having chemotherapy
•nivolumab is stopped at 2 years of uninterrupted treatment, or earlier in the event of disease progression and
•the conditions in the managed access agreement are followed."
795,TA491,2017/18,STA,Ibrutinib ,Pharmaceutical,Waldenstrom’s macroglobulinaemia,Recommended (CDF),"Recommended for use within the Cancer Drugs Fund as an option for treating Waldenstrom's macroglobulinaemia in adults who have had at least 1 prior therapy, only if the conditions in the managed access agreement for ibrutinib are followed."
796,TA492,2017/18,STA,Atezolizumab,Pharmaceutical,Untreated locally advanced or metastatic urothelial cancer when cisplatin is unsuitable,Recommended (CDF),"Recommended for use within the Cancer Drugs Fund as an option for untreated locally advanced or metastatic urothelial carcinoma in adults, for whom cisplatin-based chemotherapy is unsuitable, only if the conditions of the managed access agreement for atezolizumab are followed."
797,TA493,2017/18,STA,Cladribine tablets ,Pharmaceutical,Relapsing–remitting multiple sclerosis,Optimised,"Optimised recommendation for cladribine tablets as an option for treating highly active multiple sclerosis in adults, only if the person has:
•rapidly evolving severe relapsing–remitting multiple sclerosis, that is, at least 2 relapses in the previous year and at least 1 T1 gadolinium-enhancing lesion at baseline MRI or
•relapsing–remitting multiple sclerosis that has responded inadequately to treatment with disease-modifying therapy, defined as 1 relapse in the previous year and MRI evidence of disease activity.
"
798,TA494,2017/18,STA,Naltrexone–bupropion ,Pharmaceutical,Managing overweight and obesity,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
799,TA495,2017/18,STA,"Palbocicli, with an aromatase inhibitor",Pharmaceutical,"Untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
800,TA496,2017/18,STA,Ribociclib with an aromatase inhibitor,Pharmaceutical,"Untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
801,TA497,2017/18,STA,Golimumab ,Pharmaceutical,Non-radiographic axial spondyloarthritis,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
802,TA498,2017/18,STA,Lenvatinib plus everolimus ,Pharmaceutical,Previously treated advanced renal cell carcinoma,Recommended,Recommended in line with clinical practice and following agreement of a patient access scheme.
803,TA499,2017/18,STA,Glecaprevir–pibrentasvir ,Pharmaceutical,Chronic hepatitis C,Recommended,Recommended in line with marketing authorisation and if the company provides the drug at the same price or lower than that agreed with the Commercial Medicines Unit.
804,TA500,2017/18,STA,Ceritinib,Pharmaceutical,Untreated ALK-positive non-small-cell lung cancer,Recommended,Recommended in line with marketing authorisation and following agreement of a patient access scheme.
805,TA501,2017/18,MTA,Intrabeam radiotherapy system ,Pharmaceutical,Adjuvant treatment of early breast cancer,Only in Research,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available. Use of the Intrabeam radiotherapy system is recommended only using machines that are already available and in conjunction with NHS England specified clinical governance, data collection and submission arrangements."
806,TA502,2017/18,STA,Ibrutinib,Pharmaceutical,Relapsed or refractory mantle cell lymphoma,Optimised,"Optimised recommendation for ibrutinib as an option for treating relapsed or refractory mantle cell lymphoma in adults, only if:
•they have had only 1 previous line of therapy and
•the company provides ibrutinib with the discount agreed in the commercial access agreement with NHS England.
"
807,TA503,2017/18,STA,Fulvestrant ,Pharmaceutical,Untreated locally advanced or metastatic oestrogen-receptor positive breast cancer,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources for routine commissioning based on the data available."
808,TA504,2017/18,STA, Pirfenidone ,Pharmaceutical,Idiopathic pulmonary fibrosis,Optimised,"Optimised recommendation for pirfenidone for treating idiopathic pulmonary fibrosis in adults only if:
•the person has a forced vital capacity (FVC) between 50% and 80% predicted
•the company provides pirfenidone with the discount agreed in the patient access scheme and
•treatment is stopped if there is evidence of disease progression (an absolute decline of 10% or more in predicted FVC within any 12‑month period).

"
809,TA505,2017/18,STA,Ixazomib with lenalidomide and dexamethasone,Pharmaceutical,Relapsed or refractory multiple myeloma,Optimised (CDF),"Optimised recommendation for ixazomib, with lenalidomide and dexamethasone,  for use within the Cancer Drugs Fund as an option for treating multiple myeloma in adults only if:
•they have already had 2 or 3 lines of therapy and
•the conditions in the managed access agreement for ixazomib are followed."
810,TA506,2017/18,STA,Lesinurad,Pharmaceutical,Chronic hyperuricaemia in people with gout,Not Recommended,"At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources for routine commissioning based on the data available."
811,TA507,2017/18,STA,Sofosbuvir–velpatasvir–voxilaprevir ,Pharmaceutical,Chronic hepatitis C,Optimised,"Optimised recommendation for sofosbuvir–velpatasvir–voxilaprevir  for treating chronic hepatitis C based on HCV genotype, liver disease stage, treatment history and only if the company provides the drug with the discount agreedwith the Commercial Medicines Unit. Please see the final guidance section 1 for the detailed recommendations."
812,TA508,2017/18,STA,Autologous chondrocyte implantation using chondrosphere ,Pharmaceutical,Symptomatic articular cartilage defects of the knee,Optimised,"Optimised recommendation for autologous chondrocyte implantation (ACI) using chondrosphere as an option for treating symptomatic articular cartilage defects of the femoral condyle and patella of the knee (International Cartilage Repair Society grade III or IV) in adults, only if:
•the person has not had previous surgery to repair articular cartilage defects
•there is minimal osteoarthritic damage to the knee (as assessed by clinicians experienced in investigating knee cartilage damage using a validated measure for knee osteoarthritis) and
•the defect is over 2 cm2."
